Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition
India,Kalyan-Dombivli,Sector_1,19.22264,73.17212,5.0,196.55,6.69,32.71,216.58,834.47,220.17,26.01,41,0.93,Clear
India,Kalyan-Dombivli,Sector_2,19.25614,73.13116,5.0,196.55,6.69,32.71,216.58,834.47,220.17,26.05,40,1.21,Clear
India,Kalyan-Dombivli,Sector_3,19.22227,73.12511,5.0,196.55,6.69,32.71,216.58,834.47,220.17,26.03,40,1.05,Clear
India,Kalyan-Dombivli,Sector_4,19.26973,73.13194,5.0,196.55,6.69,32.71,216.58,834.47,220.17,26.04,40,1.35,Clear
India,Vasai-Virar,City Center,19.4210423,72.8197221,5.0,192.7,6.2,33.05,219.43,789.84,214.55,26.11,58,3.21,Clear
India,Vasai-Virar,Sector_1,19.41337,72.81297,5.0,192.7,6.2,33.05,219.43,789.84,214.55,26.13,58,3.21,Clear
India,Vasai-Virar,Sector_2,19.43039,72.8167,5.0,192.7,6.2,33.05,219.43,789.84,214.55,26.05,56,2.98,Clear
India,Vasai-Virar,Sector_3,19.42006,72.78734,5.0,169.1,2.42,30.67,225.29,597.95,185.13,26.09,60,3.44,Clear
India,Vasai-Virar,Sector_4,19.3869,72.83987,5.0,179.34,4.45,29.41,217.45,701.87,198.98,26.13,56,3.13,Clear
India,Varanasi,City Center,25.3356491,83.0076292,5.0,135.28,7.12,3.92,89.47,548.16,158.66,16.16,35,1.61,Clear
India,Varanasi,Sector_1,25.31564,83.02263,5.0,135.28,7.12,3.92,89.47,548.16,158.66,16.11,35,1.58,Clear
India,Varanasi,Sector_2,25.36455,83.04062,5.0,135.28,7.12,3.92,89.47,548.16,158.66,16.19,35,1.62,Clear
India,Varanasi,Sector_3,25.36405,82.97191,5.0,131.85,5.88,3.5,88.52,519.14,155.13,16.18,35,1.63,Clear
India,Varanasi,Sector_4,25.35624,83.00576,5.0,135.28,7.12,3.92,89.47,548.16,158.66,16.2,35,1.63,Clear
India,Srinagar,City Center,34.0747444,74.8204443,5.0,213.35,26.31,4.62,89.27,1655.35,264.45,9.22,28,0.59,Clouds
India,Srinagar,Sector_1,34.07489,74.78475,5.0,204.12,29.06,4.85,84.17,1708.34,258.81,9.22,29,0.48,Clouds
India,Srinagar,Sector_2,34.03151,74.82869,5.0,213.35,26.31,4.62,89.27,1655.35,264.45,9.05,29,0.37,Clouds
India,Srinagar,Sector_3,34.06003,74.81846,5.0,213.35,26.31,4.62,89.27,1655.35,264.45,9.22,28,0.59,Clouds
India,Srinagar,Sector_4,34.08867,74.86816,5.0,213.35,26.31,4.62,89.27,1655.35,264.45,9.9,27,1.06,Clouds
India,Aurangabad,City Center,19.877263,75.3390241,5.0,112.73,6.97,10.47,104.68,410.12,120.75,19.01,68,0.0,Haze
India,Aurangabad,Sector_1,19.89377,75.38053,5.0,112.73,6.97,10.47,104.68,410.12,120.75,18.88,68,0.0,Haze
India,Aurangabad,Sector_2,19.88235,75.37769,5.0,112.73,6.97,10.47,104.68,410.12,120.75,18.88,68,0.0,Haze
India,Aurangabad,Sector_3,19.87305,75.30858,5.0,112.73,6.97,10.47,104.68,410.12,120.75,19.15,68,0.0,Haze
India,Aurangabad,Sector_4,19.87114,75.35167,5.0,112.73,6.97,10.47,104.68,410.12,120.75,18.9,68,0.0,Haze
