id,lat,lon,aqi,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,wind_deg,weather_desc,roads,industrial,farmland,dump
pt_00118,10.563373,79.794322,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.76,70.0,7.8,11.0,overcast clouds,0,0,0,0
pt_00119,10.787951,76.145042,93.0,93.0,51.0,3.3,0.4,2.6,12.4,31.16,39.0,2.16,93.0,overcast clouds,8,0,0,0
pt_00120,10.787951,76.37366,93.0,93.0,51.0,3.3,0.4,2.6,12.4,29.67,43.0,3.56,107.0,overcast clouds,20,0,2,0
pt_00121,10.787951,76.602278,140.0,140.0,72.0,7.9,9.5,3.8,6.6,28.48,47.0,5.48,97.0,overcast clouds,31,0,2,0
pt_00122,10.787951,76.830896,140.0,140.0,72.0,7.9,9.5,3.8,6.6,27.21,50.0,6.29,73.0,overcast clouds,30,0,0,0
pt_00123,10.787951,77.059515,140.0,140.0,72.0,7.9,9.5,3.8,6.6,29.5,52.0,4.93,65.0,broken clouds,8,0,0,0
pt_00124,10.787951,77.288133,157.0,157.0,85.0,3.9,1.0,4.6,1.2,25.55,55.0,4.1,63.0,overcast clouds,0,0,0,0
pt_00125,10.787951,77.516751,157.0,157.0,85.0,3.9,1.0,4.6,1.2,25.83,54.0,3.08,50.0,overcast clouds,3,0,0,0
pt_00126,10.787951,77.745369,60.0,,60.0,1.5,9.1,4.9,,26.11,53.0,2.7,24.0,overcast clouds,2,0,0,0
pt_00127,10.787951,77.973988,60.0,,60.0,1.5,9.1,4.9,,26.38,53.0,2.45,8.0,overcast clouds,0,0,0,0
pt_00128,10.787951,78.202606,60.0,,60.0,1.5,9.1,4.9,,26.4,56.0,2.09,355.0,scattered clouds,9,0,0,0
pt_00129,10.787951,78.431224,60.0,,60.0,1.5,9.1,4.9,,27.12,58.0,2.97,22.0,broken clouds,11,0,0,0
pt_00130,10.787951,78.659842,60.0,,60.0,1.5,9.1,4.9,,30.07,66.0,5.14,20.0,haze,107,0,0,0
pt_00131,10.787951,78.888461,60.0,,60.0,1.5,9.1,4.9,,30.17,66.0,5.14,20.0,haze,4,1,1,0
pt_00132,10.787951,79.117079,60.0,,60.0,1.5,9.1,4.9,,27.7,80.0,6.84,18.0,overcast clouds,0,0,0,0
pt_00133,10.787951,79.345697,160.0,160.0,75.0,8.0,3.0,6.1,40.1,27.83,80.0,7.03,20.0,overcast clouds,11,0,8,0
pt_00134,10.787951,79.574315,160.0,160.0,75.0,8.0,3.0,6.1,40.1,27.15,66.0,7.08,12.0,overcast clouds,26,0,0,0
pt_00135,10.787951,79.802934,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.48,70.0,8.02,10.0,overcast clouds,11,0,0,0
pt_00136,11.012529,75.922293,93.0,93.0,51.0,3.3,0.4,2.6,12.4,29.61,54.0,1.54,330.0,haze,35,0,0,0
pt_00137,11.012529,76.151084,93.0,93.0,51.0,3.3,0.4,2.6,12.4,29.09,39.0,0.53,82.0,overcast clouds,6,0,0,0
pt_00138,11.012529,76.379875,93.0,93.0,51.0,3.3,0.4,2.6,12.4,31.64,39.0,1.44,193.0,broken clouds,15,0,3,0
pt_00139,11.012529,76.608665,140.0,140.0,72.0,7.9,9.5,3.8,6.6,26.47,42.0,1.82,131.0,broken clouds,0,0,0,0
pt_00140,11.012529,76.837456,140.0,140.0,72.0,7.9,9.5,3.8,6.6,28.51,54.0,3.85,73.0,broken clouds,32,0,0,0
pt_00141,11.012529,77.066247,140.0,140.0,72.0,7.9,9.5,3.8,6.6,29.14,34.0,3.6,40.0,haze,76,3,0,0
pt_00142,11.012529,77.295038,157.0,157.0,85.0,3.9,1.0,4.6,1.2,29.28,52.0,4.67,55.0,overcast clouds,19,0,0,0
pt_00143,11.012529,77.523829,157.0,157.0,85.0,3.9,1.0,4.6,1.2,25.62,54.0,4.09,45.0,broken clouds,3,0,0,0
pt_00144,11.012529,77.75262,157.0,157.0,85.0,3.9,1.0,4.6,1.2,26.55,52.0,3.22,25.0,overcast clouds,5,0,0,0
pt_00145,11.012529,77.981411,60.0,,60.0,1.5,9.1,4.9,,27.04,50.0,2.61,14.0,overcast clouds,21,0,0,0
pt_00146,11.012529,78.210202,60.0,,60.0,1.5,9.1,4.9,,28.96,51.0,0.89,351.0,scattered clouds,6,0,0,0
pt_00147,11.012529,78.438993,60.0,,60.0,1.5,9.1,4.9,,27.76,54.0,1.76,38.0,scattered clouds,2,0,0,0
pt_00148,11.012529,78.667783,60.0,,60.0,1.5,9.1,4.9,,29.84,58.0,5.27,29.0,overcast clouds,2,0,0,0
pt_00149,11.012529,78.896574,60.0,,60.0,1.5,9.1,4.9,,28.79,66.0,6.93,16.0,overcast clouds,2,0,0,0
