id,lat,lon
pt_00235,12.135418,76.413
pt_00236,12.135418,76.642711
pt_00237,12.135418,76.872422
pt_00238,12.135418,77.102133
pt_00239,12.135418,77.331845
pt_00240,12.135418,77.561556
pt_00241,12.135418,77.791267
pt_00242,12.135418,78.020978
pt_00243,12.135418,78.250689
pt_00244,12.135418,78.4804
pt_00245,12.135418,78.710111
pt_00246,12.135418,78.939822
pt_00247,12.135418,79.169533
pt_00248,12.135418,79.399244
pt_00249,12.135418,79.628955
pt_00250,12.135418,79.858666
pt_00251,12.135418,92.722484
pt_00252,12.359996,75.270507
pt_00253,12.359996,75.500413
pt_00254,12.359996,75.73032
pt_00255,12.359996,75.960227
pt_00256,12.359996,76.190133
pt_00257,12.359996,76.42004
pt_00258,12.359996,76.649946
pt_00259,12.359996,76.879853
pt_00260,12.359996,77.109759
pt_00261,12.359996,77.339666
pt_00262,12.359996,77.569573
pt_00263,12.359996,77.799479
pt_00264,12.359996,78.029386
pt_00265,12.359996,78.259292
pt_00266,12.359996,78.489199
pt_00267,12.359996,78.719105
pt_00268,12.359996,78.949012
pt_00269,12.359996,79.178919
pt_00270,12.359996,79.408825
pt_00271,12.359996,79.638732
pt_00272,12.359996,79.868638
pt_00273,12.359996,92.743407
pt_00274,12.584574,75.046583
pt_00275,12.584574,75.276689
pt_00276,12.584574,75.506794
pt_00277,12.584574,75.7369
pt_00278,12.584574,75.967006
pt_00279,12.584574,76.197112
pt_00280,12.584574,76.427218
pt_00281,12.584574,76.657324
pt_00282,12.584574,76.88743
pt_00283,12.584574,77.117536
pt_00284,12.584574,77.347642
pt_00285,12.584574,77.577748
pt_00286,12.584574,77.807854
pt_00287,12.584574,78.03796
pt_00288,12.584574,78.268066
pt_00289,12.584574,78.498172
pt_00290,12.584574,78.728278
pt_00291,12.584574,78.958384
pt_00292,12.584574,79.18849
pt_00293,12.584574,79.418596
pt_00294,12.584574,79.648702
pt_00295,12.584574,79.878808
pt_00296,12.584574,80.108914
pt_00297,12.584574,92.764743
pt_00298,12.809151,75.052681
pt_00299,12.809151,75.282991
pt_00300,12.809151,75.5133
pt_00301,12.809151,75.743609
pt_00302,12.809151,75.973919
pt_00303,12.809151,76.204228
pt_00304,12.809151,76.434537
pt_00305,12.809151,76.664846
pt_00306,12.809151,76.895156
pt_00307,12.809151,77.125465
pt_00308,12.809151,77.355774
pt_00309,12.809151,77.586084
pt_00310,12.809151,77.816393
pt_00311,12.809151,78.046702
pt_00312,12.809151,78.277011
pt_00313,12.809151,78.507321
pt_00314,12.809151,78.73763
pt_00315,12.809151,78.967939
pt_00316,12.809151,79.198248
pt_00317,12.809151,79.428558
pt_00318,12.809151,79.658867
pt_00319,12.809151,79.889176
pt_00320,12.809151,80.119486
pt_00321,12.809151,92.786496
pt_00322,13.033729,74.828381
pt_00323,13.033729,75.058897
pt_00324,13.033729,75.289414
pt_00325,13.033729,75.51993
pt_00326,13.033729,75.750447
pt_00327,13.033729,75.980963
pt_00328,13.033729,76.21148
pt_00329,13.033729,76.441996
pt_00330,13.033729,76.672513
pt_00331,13.033729,76.903029
pt_00332,13.033729,77.133546
pt_00333,13.033729,77.364062
pt_00334,13.033729,77.594579
pt_00335,13.033729,77.825095
pt_00336,13.033729,78.055612
pt_00337,13.033729,78.286128
pt_00338,13.033729,78.516645
pt_00339,13.033729,78.747161
pt_00340,13.033729,78.977678
pt_00341,13.033729,79.208194
pt_00342,13.033729,79.438711
pt_00343,13.033729,79.669227
pt_00344,13.033729,79.899744
pt_00345,13.033729,80.13026
pt_00346,13.258307,74.834503
pt_00347,13.258307,75.065231
