city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI
Poonamallee,13.0492031,80.1010677,49.93,Good,59.71,Satisfactory,305.81,Very Poor,11.3,Good,7.92,Good,104.94,Moderate,3
Sahnewal,30.8402061,75.983601,102.01,Moderate,125.71,Moderate,774.94,Severe,12.13,Good,6.55,Good,98.0,Satisfactory,5
Vellore,12.9071753,79.1309695,38.74,Good,48.88,Good,309.83,Very Poor,14.34,Good,7.77,Good,85.39,Satisfactory,3
Jagraon,30.8041704,75.4753645,99.28,Satisfactory,125.84,Moderate,803.18,Severe,13.39,Good,5.17,Good,92.33,Satisfactory,5
Gill,30.846374,75.8628312,102.01,Moderate,125.71,Moderate,774.94,Severe,12.13,Good,6.55,Good,98.0,Satisfactory,5
Dehlon,30.7431327,75.8505198,109.82,Moderate,135.12,Moderate,803.89,Severe,13.52,Good,6.74,Good,99.57,Satisfactory,5
Nagercoil,8.1839904,77.4315437,28.02,Good,38.16,Good,150.09,Moderate,1.18,Good,2.95,Good,107.74,Moderate,3
Nanguneri,8.4892568,77.6596709,30.42,Good,40.71,Good,161.53,Moderate,1.57,Good,3.16,Good,108.65,Moderate,3
Thiruvananthapuram,8.4882267,76.947551,63.92,Satisfactory,70.91,Satisfactory,216.33,Poor,0.86,Good,1.88,Good,125.82,Moderate,4
Nazareth,8.5599258,77.9719457,26.43,Good,36.83,Good,157.82,Moderate,1.71,Good,3.07,Good,103.94,Moderate,3
Vikramasingapuram,8.7141792,77.3892867,48.98,Good,58.2,Satisfactory,193.58,Moderate,1.39,Good,2.88,Good,120.05,Moderate,3
Tirunelveli,8.7284271,77.7112925,34.03,Good,44.68,Good,173.36,Moderate,2.06,Good,3.44,Good,110.2,Moderate,3
Alwarkuruchi,8.782604,77.3985651,48.98,Good,58.2,Satisfactory,193.58,Moderate,1.39,Good,2.88,Good,120.05,Moderate,3
Kollam,8.8870533,76.5906696,78.49,Satisfactory,84.64,Satisfactory,248.77,Poor,0.67,Good,1.8,Good,130.85,Moderate,5
Ayoor,8.8978612,76.8601206,74.36,Satisfactory,80.15,Satisfactory,238.09,Poor,0.64,Good,1.69,Good,130.65,Moderate,4
Kulathupuzha,8.9065347,77.0564917,64.04,Satisfactory,71.59,Satisfactory,221.48,Poor,1.09,Good,2.33,Good,126.61,Moderate,4
Tenkasi,8.9557896,77.3072559,53.71,Satisfactory,63.03,Satisfactory,204.86,Poor,1.55,Good,2.97,Good,122.57,Moderate,4
Kottarakkara,9.0054869,76.7831987,71.31,Satisfactory,77.43,Satisfactory,236.44,Poor,0.7,Good,2.14,Good,128.88,Moderate,4
Vilattikulam,9.130928,78.167316,32.4,Good,44.41,Good,278.62,Poor,12.19,Good,5.77,Good,82.84,Satisfactory,3
Ettaiyapuram,9.1485222,77.9971639,37.45,Good,48.65,Good,254.12,Poor,8.91,Good,5.13,Good,95.38,Satisfactory,3
Sankarankovil,9.170073,77.535369,47.55,Good,57.13,Satisfactory,204.21,Poor,2.24,Good,3.83,Good,120.9,Moderate,3
Puliyangudi,9.1756002,77.3966381,54.68,Satisfactory,63.03,Satisfactory,213.08,Poor,1.72,Good,3.24,Good,123.36,Moderate,4
Haripad,9.2844934,76.4562679,68.88,Satisfactory,75.42,Satisfactory,235.39,Poor,0.75,Good,2.6,Good,128.13,Moderate,4
Mandapam,9.282701,79.1526713,18.0,Good,24.31,Good,157.46,Moderate,1.65,Good,1.95,Good,94.1,Satisfactory,2
