city,country,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp
Deer Park,US,29.670025,-95.128508,7.73,Good,10.38,Good,182.29,Unhealthy,7.68,Good,3.72,Good,61.39,Moderate,2,11.61,61,3.6,50,2025-12-11T14:49:47
Columbia,US,29.144291,-95.756601,9.94,Good,14.5,Good,183.28,Unhealthy,4.95,Good,2.91,Good,67.82,Moderate,2,11.14,73,3.96,70,2025-12-11T14:49:47
Harris County,US,29.81453,-95.38769,8.27,Good,10.9,Good,197.27,Unhealthy,10.79,Good,3.99,Good,51.64,Good,1,11.03,61,5.14,90,2025-12-11T14:49:47
Shenandoah,US,30.2362,-95.4832,6.47,Good,8.83,Good,193.16,Unhealthy,10.81,Good,2.63,Good,47.07,Good,1,10.44,65,2.46,80,2025-12-11T14:49:47
Houston,US,29.7176,-95.3414,8.26,Good,11.01,Good,189.09,Unhealthy,8.78,Good,3.79,Good,57.95,Moderate,1,10.94,59,5.14,90,2025-12-11T14:49:47
Hitchcock,US,29.3879,-95.0414,7.93,Good,11.21,Good,168.22,Unhealthy,3.9,Good,3.04,Good,73.67,Unhealthy,2,12.43,68,0.89,67,2025-12-11T14:49:47
Jacinto City,US,29.7679965,-95.2205822,8.26,Good,11.01,Good,189.09,Unhealthy,8.78,Good,3.79,Good,57.95,Moderate,1,11.12,60,5.14,90,2025-12-11T14:49:47
Houston,US,29.752778,-95.350278,8.26,Good,11.01,Good,189.09,Unhealthy,8.78,Good,3.79,Good,57.95,Moderate,1,10.94,60,5.14,90,2025-12-11T14:49:47
Lake Jackson,US,29.0437592,-95.4729462,9.44,Good,14.16,Good,175.93,Unhealthy,4.26,Good,2.94,Good,71.58,Unhealthy,2,8.03,87,2.57,20,2025-12-11T14:49:47
Greatwood,US,29.5741,-95.6497,8.81,Good,11.56,Good,189.38,Unhealthy,6.94,Good,2.99,Good,58.45,Moderate,1,11.07,63,2.24,61,2025-12-11T14:49:47
Cloverleaf,US,29.7647877,-95.1785379,7.73,Good,10.38,Good,182.29,Unhealthy,7.68,Good,3.72,Good,61.39,Moderate,2,11.26,61,3.6,50,2025-12-11T14:49:47
Mission Bend,US,29.7233,-95.6358,8.22,Good,10.71,Good,189.88,Unhealthy,7.6,Good,2.82,Good,54.29,Unhealthy,1,10.95,62,2.99,80,2025-12-11T14:49:47
Highlands,US,29.821389,-94.99,6.98,Good,9.01,Good,181.62,Unhealthy,8.43,Good,4.12,Good,58.62,Moderate,1,10.36,68,0.45,0,2025-12-11T14:49:47
