location_id,city,latitude,longitude
245684028,Selu,19.4548608,76.4388052
245684544,Aundah,19.5408846,77.0408752
245684569,Akole,19.5419344,74.0092582
245684766,Partur,19.5856691,76.2139769
245684933,Kondagaon,19.5885769,81.6628742
245684980,Asika,19.6060868,84.6724523
245685095,Kinwat,19.6211721,78.2003138
245685191,Mantha,19.6443869,76.3869764
245685440,Palghar,19.6978751,72.7686942
245685572,Hingoli,19.7158472,77.1388362
245685652,Gangapur,19.6977616,75.0124415
245685804,Rajura,19.7792814,79.3657272
245685894,Puri,19.8076083,85.8252538
245686073,Jalna,19.8393394,75.8818806
245686151,Junagarh,19.8610794,82.9353189
245686245,Chhatrapati Sambhaji Nagar,19.877263,75.3390241
245686261,Kopargaon,19.885,74.4762
245686395,Pusad,19.9080759,77.5706555
245686460,Vaijapur,19.9266272,74.7286135
245686499,Deolali,19.9380426,73.8567115
245686536,Chandrapur,19.9508161,79.2986673
245686563,Sindkhed Raja,19.9540802,76.1257663
245686635,Risod,19.9778005,76.7897566
245686667,Lonar,19.9850956,76.5226964
245686722,Dahanu,19.9887244,72.733848
245686746,Pakhanjur,20.0387175,80.6244334
245686763,Nashik,20.0112475,73.7902364
245686808,Deulgaon Raja,20.0151691,76.0353471
245686900,Yeola,20.0429079,74.4880389
245686924,Arni,20.0653876,77.9519923
245686972,Wani,20.0574,78.9565
245687015,Mul,20.0651224,79.6767277
245687032,Ranpur,20.0632415,85.3444328
245687193,Digras,20.1041813,77.7167937
245687196,Washim,20.1029211,77.1353872
245687324,Ghatanji,20.1427699,78.3140429
245687473,Kesinga,20.1903644,83.2196816
245687619,Jafarabad,20.1957484,76.0105856
245687695,Malegaon,20.2367604,76.9998051
245687733,Warora,20.2342965,79.0027504
245687808,Kannad,20.2654298,75.1322409
245687871,Silvassa,20.2736768,73.0045787
245687886,Khandapada,20.2637344,85.1713704
245687944,Titlagarh,20.288849,83.1552029
245688086,Chandvad,20.3278147,74.2387228
245688138,Chikhli,20.349113,76.2524987
245688264,Vapi,20.371603,72.9166501
245688424,Yavatmal,20.390344,78.1328518
245688820,Patur,20.4602277,76.9380493
245688877,Chalisgaon,20.4626213,75.0069134
245688972,Cuttack,20.4686,85.8792
245689050,Phulbani,20.4762322,84.2348517
245689146,Ner,20.4919069,77.8678515
245689269,Choudwar,20.5276823,85.910155
245689350,Kendrapara,20.5042089,86.4159937
245689525,Malegaon,20.5576062,74.5246514
245689561,Hinganghat,20.5484132,78.8411206
245690171,Balapur,20.6683381,76.773777
