location_id,city,latitude,longitude,temperature,humidity,wind_speed,wind_deg,timestamp
273658993,Srinagar,34.0747444,74.8204443,8.34,57,0.24,158,1766499059
277485901,Ichalkaranji,16.6959348,74.4555755,21.26,28,3.75,59,1766499067
280902307,Ettumanoor,9.6705152,76.557804,22.02,85,1.17,75,1766499067
281358588,Kayamkulam,9.1723603,76.500061,24.84,71,0.65,301,1766499067
281358701,Karunagapally,9.0551448,76.5354179,25.66,64,0.66,287,1766499067
281368071,Adoor,9.1529656,76.7355742,21.93,79,0.67,99,1766499067
282403100,Coonoor,11.3459447,76.7965283,11.11,85,1.05,305,1766499067
282777706,Devanahalli,13.2483502,77.7134377,20.08,60,3.09,70,1766499067
287241659,Tabo,32.0939595,78.3836693,-6.93,39,1.72,238,1766499067
287468687,Kullu,31.9578974,77.1089232,4.08,34,3.47,23,1766499067
287687798,Varanasi,25.3356491,83.0076292,16.63,47,2.63,268,1766499067
288863522,Chintamani,13.3986587,78.0533058,17.75,66,2.72,81,1766498672
290180981,Kannur,11.8763836,75.3737973,23.46,69,1.69,327,1766499067
290181532,Mahé,11.7021978,75.5364701,24.08,74,2.16,331,1766499067
290481241,Gelling,29.1345196,94.9776827,7.58,73,2.08,325,1766499067
290885849,Gudalur,11.4992417,76.4923903,17.67,77,1.78,120,1766499067
293673885,Sri Vijaya Puram,11.6645348,92.7390448,28.68,54,2.06,70,1766499067
294073627,Kundrathur,12.9957704,80.0973114,25.21,77,3.6,50,1766499067
294073748,Thirumazhisai,13.0540139,80.0607568,25.31,77,3.6,50,1766499067
294521062,Perur,10.976406,76.9141784,27.87,36,1.54,10,1766499067
296300688,Tanakpur,29.0740524,80.1096011,15.46,56,2.54,14,1766499067
297473137,Kelambakkam,12.7871437,80.219987,25.16,79,4.92,20,1766499067
297681854,Kottayam,9.591564,76.5221599,22.45,84,1.0,76,1766499030
299299684,Baramulla,34.2086903,74.343498,7.15,64,1.57,234,1766499067
299343470,Basohli,32.4985409,75.8179027,14.59,51,2.29,48,1766499067
299343472,Chamba,32.5565043,76.1249971,13.35,57,2.58,83,1766499067
299448214,Dibrugarh,27.4844597,94.9019447,17.11,59,2.08,12,1766499067
299448217,Chabua,27.4826767,95.1730318,16.57,63,1.39,29,1766499067
299449590,Champawat,29.3372715,80.0920862,7.02,58,1.5,307,1766499067
299531301,Dehradun,30.3255646,78.0436813,14.29,59,2.27,49,1766499055
299531768,Ukhimath,30.5139518,79.094756,11.21,29,3.62,8,1766499067
299539934,Paonta Sahib,30.4384439,77.6211774,15.83,56,1.77,36,1766499067
299544269,Chakrata,30.7013248,77.8703356,4.75,67,1.77,23,1766499067
299636581,Rekong Peo,31.5421419,78.2708218,-1.21,46,2.02,135,1766499067
299642899,Bilaspur,31.3380959,76.7611631,14.77,56,1.51,36,1766499067
299754270,Drass,34.4292702,75.750761,-14.39,83,2.25,220,1766499067
302559648,Nalagarh,31.042466,76.7176443,15.87,57,1.91,22,1766499067
302560565,Naraingarh,30.4723882,77.1242678,16.18,56,3.73,313,1766499067
302560567,Rajpura,30.4776857,76.5937658,16.73,54,3.88,306,1766499067
302568211,Sirhind,30.625015,76.3853971,16.6,53,3.86,304,1766499067
302568214,Mandi Gobindgarh,30.6518301,76.2998708,16.53,52,3.9,303,1766499067
302574537,Nawanshahr,31.1256744,76.1159294,16.18,55,3.76,307,1766499067
302574539,Garhshankar,31.2154716,76.1426888,16.12,56,3.78,314,1766499067
