location_id,city,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
245692256,Sakri,57,0,0,0,0,87.65,,,,
245690517,Akola,2013,0,0,0,0,46.06,,,,
245690727,Wardha,1851,2,0,0,0,13.52,1352.68,,,
245692062,Navsari,2105,1,0,0,0,19.39,2090.94,,,
245692511,Bagbahra,8,0,0,0,0,910.74,,,,
245692542,Kankadahad,8,0,0,0,0,180.0,,,,
245692561,Jalgaon Jamod,24,0,0,0,0,39.49,,,,
245691052,Jamner,360,0,0,0,0,59.32,,,,
245692624,Rajula,753,3,1,0,0,14.42,393.05,617.09,,
245692878,Akot,55,3,0,0,0,84.67,874.11,,,
245692843,Valod,129,0,0,0,0,9.54,,,,
245692835,Mahuva,831,6,0,0,0,48.44,895.01,,,
245693096,Mangrol,381,0,0,0,0,37.64,,,,
245693021,Vyara,698,4,0,0,0,46.26,1168.17,,,
245690789,Chikhli,30,2,0,0,0,10.81,1373.19,,,
245691299,Angul,276,0,0,0,0,24.09,,,,
245690647,Murtijapur,108,0,0,0,0,37.3,,,,
245691342,Subarnapur,49,0,0,0,0,9.16,,,,
245693160,Kondhali,23,0,0,0,0,46.45,,,,
245692508,Amalner,140,0,0,0,0,13.51,,,,
245693335,Navapur,59,0,0,0,0,15.62,,,,
245690941,Kodinar,344,4,0,0,0,0.0,577.48,,,
245693215,Mauda,263,4,0,0,0,4.14,1804.29,,,
245693571,Dongargarh,202,0,0,0,0,3.44,,,,
245693891,Chopda,176,0,1,0,0,15.55,,897.07,,
245693923,Pithora,20,0,0,0,0,78.72,,,,
245691345,Jajpur,44,0,0,0,0,9.44,,,,
245693887,Raver,265,0,0,0,0,26.1,,,,
245693758,Kamptee,818,0,0,0,0,4.35,,,,
245693327,Songadh,182,0,0,0,0,0.8,,,,
245691085,Dhamangaon,79,0,0,0,0,5.79,,,,
245693244,Savda,23,0,0,0,0,20.15,,,,
245694020,Shindkheda,48,0,0,0,0,26.05,,,,
245694292,Mendarda,22,3,0,0,0,101.64,656.67,,,
245693374,Karanja,131,0,0,0,0,208.44,,,,
245691124,Una,598,1,0,0,0,108.55,1686.6,,,
245691743,Veraval,1357,10,0,2,0,25.95,718.85,,1691.92,
245694157,Paratwada,413,0,0,0,0,0.0,,,,
245691673,Dhule,1962,2,0,0,0,63.83,1060.26,,,
245694333,Bargarh,148,9,0,0,0,111.56,1262.97,,,
245694520,Amgaon,33,0,0,0,0,19.15,,,,
245694338,Visavadar,229,1,0,0,0,34.01,1838.05,,,
245694497,Nandurbar,933,1,0,0,0,17.35,2407.14,,,
245694188,Burhanpur,1300,2,0,0,0,31.97,1134.8,,,
245697018,Digha,100,0,0,0,0,23.13,,,,
245698484,Dahej,29,17,0,0,0,113.49,650.21,,,
245694869,Chandipur,7,0,0,0,0,11.67,,,,
245694751,Umarpada,10,0,0,0,0,78.34,,,,
245695875,Pandhurna,409,0,0,0,0,51.5,,,,
245698422,Sihor,15,3,0,0,0,97.78,944.04,,,
245694660,Kharora,123,0,0,0,0,66.09,,,,
245694499,Talaja,344,5,0,0,0,10.59,1263.95,,,
245694465,Shirpur,713,0,0,0,0,15.91,,,,
245698892,Chital,45,0,0,0,0,40.83,,,,
245699431,Karanjia,10,0,0,0,0,79.32,,,,
245698883,Bhatapara,112,0,0,0,0,3.03,,,,
245699551,Multai,34,1,0,0,0,0.0,86.34,,,
245698935,Dhoraji,492,8,0,0,0,13.01,1302.26,,,
245699008,Betnoti,15,0,0,0,0,111.23,,,,
245696207,Kasdol,4,0,0,0,0,159.02,,,,
245696303,Dediapada,22,0,0,0,0,72.1,,,,
245698822,Bharuch,1959,2,0,0,0,13.69,384.96,,,
245697134,Balodabazar,41,0,0,0,0,13.06,,,,
245696356,Netrang,10,0,0,0,0,133.15,,,,
245695386,Shahada,26,2,0,0,0,36.69,36.69,,,
245701030,Jam Kandoma,7,0,0,0,0,169.62,,,,
245694618,Tumsar,504,0,0,0,0,7.42,,,,
245700780,Bhikangaon,15,6,0,0,0,59.35,279.97,,,
245695019,Warud,271,1,0,0,0,6.57,2314.11,,,
245699360,Bhavnagar,2026,1,0,0,0,69.33,1810.48,,,
245695829,Sausar,21,0,0,0,0,21.4,,,,
245699585,Contai,308,0,0,0,0,116.48,,,,
245701207,Koira,6,0,0,0,0,82.19,,,,
245697921,Lathi,58,0,0,0,0,4.55,,,,
245699519,Katangi,30,0,0,0,0,0.0,,,,
245696813,Porbandar,1007,11,0,0,0,142.62,421.9,,,
245700113,Balaghat,651,0,0,0,0,28.16,,,,
245695276,Palitana,645,0,0,0,0,6.94,,,,
