location_id,city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
7095561508,Nirmali,26.3070921,86.5738696,245.6,Poor,277.56,Poor,1538.91,Severe,33.68,Good,7.45,Good,61.19,Satisfactory,5,17.7,51,2.85,284,1766499091,16.0,0.0,0.0,0.0,0.0,7.33,,,,
7095883464,Chhota Chhindwara,23.0421412,79.4846248,45.92,Good,50.07,Satisfactory,274.11,Poor,3.65,Good,1.88,Good,73.24,Satisfactory,3,17.51,45,0.95,112,1766499091,411.0,0.0,0.0,0.0,0.0,8.48,,,,
7096124434,Patharia,23.9003164,79.1952467,73.55,Satisfactory,80.6,Satisfactory,391.47,Very Poor,9.03,Good,3.48,Good,65.82,Satisfactory,4,18.31,43,2.22,14,1766499091,245.0,1.0,0.0,0.0,0.0,4.93,1405.13,,,
7096124436,Patera,23.9958389,79.6859407,76.24,Satisfactory,83.25,Satisfactory,386.51,Very Poor,6.18,Good,2.33,Good,66.33,Satisfactory,5,18.2,43,1.94,31,1766499091,2.0,0.0,0.0,0.0,0.0,159.16,,,,
7096405506,Bada Malhera,24.5626881,79.3071806,57.64,Satisfactory,64.01,Satisfactory,300.14,Very Poor,4.13,Good,2.23,Good,58.21,Satisfactory,4,18.0,48,1.43,32,1766499091,2.0,0.0,0.0,0.0,0.0,262.79,,,,
7096539264,Baldeogarh,24.7557658,79.070009,63.94,Satisfactory,70.28,Satisfactory,325.13,Very Poor,6.35,Good,2.54,Good,57.19,Satisfactory,4,18.63,46,1.8,10,1766499091,7.0,0.0,0.0,0.0,0.0,12.92,,,,
7096539265,Palera,25.0205177,79.2279267,79.14,Satisfactory,86.13,Satisfactory,377.41,Very Poor,8.98,Good,4.18,Good,68.35,Satisfactory,5,18.61,49,1.35,353,1766499091,9.0,0.0,0.0,0.0,0.0,78.85,,,,
7096539266,Khargapur,24.8221458,79.1445207,68.69,Satisfactory,75.38,Satisfactory,349.44,Very Poor,8.03,Good,3.14,Good,59.58,Satisfactory,4,18.51,48,1.51,6,1766499091,17.0,1.0,0.0,0.0,0.0,174.91,964.08,,,
7097776981,Gunnor,24.4601975,80.2490115,100.06,Moderate,110.02,Moderate,497.86,Severe,10.19,Good,3.32,Good,57.91,Satisfactory,5,17.1,47,1.98,1,1766499091,10.0,0.0,0.0,0.0,0.0,88.36,,,,
7098608251,Mohan Badodiya,23.6048518,76.3360118,43.93,Good,51.75,Satisfactory,408.81,Severe,15.56,Good,3.91,Good,43.99,Good,3,19.94,37,2.28,28,1766499091,9.0,0.0,0.0,0.0,0.0,32.79,,,,
7098629258,Kesli,23.4185573,78.8061547,64.43,Satisfactory,69.77,Satisfactory,332.96,Very Poor,5.87,Good,2.55,Good,62.78,Satisfactory,4,17.42,44,1.18,13,1766499091,6.0,0.0,0.0,0.0,0.0,112.96,,,,
7098742544,Devendranagar,24.6159845,80.3785728,102.02,Moderate,111.07,Moderate,477.06,Severe,9.26,Good,2.9,Good,61.54,Satisfactory,5,16.81,49,1.73,343,1766499091,2.0,0.0,0.0,0.0,0.0,27.91,,,,
7099266279,Lalbarra,21.9435431,80.0508928,114.41,Moderate,124.37,Moderate,584.87,Severe,15.54,Good,6.65,Good,69.27,Satisfactory,5,17.16,46,2.86,351,1766499091,11.0,0.0,0.0,0.0,0.0,98.28,,,,
7099722752,Khalwa,21.8034559,76.7437506,40.06,Good,44.62,Good,290.98,Poor,10.24,Good,5.45,Good,68.97,Satisfactory,3,20.42,38,3.15,59,1766499091,8.0,0.0,0.0,0.0,0.0,82.92,,,,
7099731172,Rehatgarh,22.2462997,77.2283034,43.49,Good,48.28,Good,308.95,Very Poor,10.6,Good,6.92,Good,78.69,Satisfactory,3,19.26,43,2.6,108,1766499091,2.0,0.0,0.0,0.0,0.0,388.76,,,,
7099741313,Ichhawar,23.0272718,77.0196962,49.51,Good,52.67,Satisfactory,269.55,Poor,4.73,Good,2.18,Good,72.81,Satisfactory,3,18.33,47,2.28,83,1766499091,37.0,0.0,0.0,0.0,0.0,79.75,,,,
7101003165,Gurh,24.5017446,81.5005517,103.81,Moderate,112.81,Moderate,511.56,Severe,11.66,Good,5.89,Good,84.72,Satisfactory,5,16.28,48,1.5,311,1766499091,171.0,0.0,0.0,0.0,0.0,29.14,,,,
7101616814,Rampur Baghelan,24.5043903,81.0564422,105.51,Moderate,115.71,Moderate,535.55,Severe,9.49,Good,3.0,Good,71.94,Satisfactory,5,16.58,48,1.62,320,1766499091,222.0,0.0,0.0,0.0,0.0,22.51,,,,
