city_x,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,location_id,temperature,humidity,wind_speed,wind_deg,timestamp,hour,day_of_week,month,season,city_y,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m,latitude,longitude,Pollution_Source
Ettaiyapuram,0.0677962534203325,Good,0.0761692252766869,Good,0.0650328774072701,Poor,0.1021606387975575,Good,0.0554512316359217,Good,0.3861682071090265,Satisfactory,3,245582795,0.9075922916182958,0.5769230769230769,0.3726190476190475,0.1944444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Ettaiyapuram,59.0,1.0,0.0,0.0,0.0,49.33,1468.47,814.3299999999999,894.22,340.4,9.1485222,77.9971639,Natural
Sankarankovil,0.0890549358029888,Good,0.091306676187076,Satisfactory,0.0455561842695752,Poor,0.0238374823860967,Good,0.0410913509333922,Good,0.503517726582977,Moderate,3,245582958,0.9150220571163222,0.4743589743589743,0.2154761904761904,0.0472222222222222,1970-01-01 00:00:01.766499058,0,3,1,Winter,Sankarankovil,582.0,0.0,0.0,0.0,0.0,0.0,916.48,814.3299999999999,894.22,340.4,9.170073,77.535369,Natural
Puliyangudi,0.1040623026731214,Satisfactory,0.1018386290610496,Satisfactory,0.0490175801447776,Poor,0.0177313292625645,Good,0.0345741743068596,Good,0.5148296316733343,Moderate,4,245583048,0.8785697701416298,0.5897435897435898,0.2202380952380952,0.0222222222222222,1970-01-01 00:00:01.766499058,0,3,1,Winter,Puliyangudi,205.0,0.0,0.0,0.0,0.0,10.87,916.48,814.3299999999999,894.22,340.4,9.1756002,77.3966381,Natural
Haripad,0.1339507472111134,Satisfactory,0.1239557300963941,Satisfactory,0.0577237517316735,Poor,0.0063410051667449,Good,0.0275046945763835,Good,0.5367636915436612,Moderate,4,245583686,0.900626886463896,0.6923076923076923,0.0869047619047619,0.8611111111111112,1970-01-01 00:00:01.766499058,0,3,1,Winter,Haripad,343.0,3.0,10.0,0.0,0.0,55.7,75.78,943.9,894.22,340.4,9.2844934,76.4562679,Natural
Mandapam,0.026857503683435,Good,0.0327204569796501,Good,0.0273126378021892,Moderate,0.0169093471113198,Good,0.0203247542251187,Good,0.3802823377937186,Satisfactory,2,245583753,0.925470164847922,0.717948717948718,1.0,0.1361111111111111,1970-01-01 00:00:01.766499058,0,3,1,Winter,Mandapam,59.0,0.0,0.0,0.0,0.0,19.04,916.48,814.3299999999999,894.22,340.4,9.282701,79.1526713,Natural
Sattur,0.0794569564302252,Good,0.0865583720099964,Satisfactory,0.0924547813701195,Very Poor,0.1689760450915922,Good,0.0694797304760852,Good,0.3430358210327862,Satisfactory,3,245583914,0.9159507778035756,0.5128205128205128,0.4476190476190476,0.1333333333333333,1970-01-01 00:00:01.766499058,0,3,1,Winter,Sattur,302.0,0.0,1.0,0.0,0.0,5.68,916.48,1076.17,894.22,340.4,9.3516337,77.9211286,Natural
Rajapalayam,0.1065670385182067,Satisfactory,0.1008389860764013,Satisfactory,0.058055452576535,Poor,0.0294739314232033,Good,0.0460620788688832,Good,0.5253598197452523,Moderate,4,245584040,0.886463895983283,0.5512820512820512,0.219047619047619,0.9,1970-01-01 00:00:01.766499058,0,3,1,Winter,Rajapalayam,711.0,4.0,1.0,0.0,0.0,10.84,1531.85,1683.5,894.22,340.4,9.4456102,77.5542849,Natural
Devipattinam,0.0323089875815617,Good,0.0367368796858264,Good,0.0319837661704161,Moderate,0.0371066228276186,Good,0.0309289738208328,Good,0.3765576861176254,Satisfactory,2,245584065,0.9196656605525888,0.6923076923076923,0.7833333333333333,0.1694444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Devipattinam,75.0,0.0,0.0,0.0,0.0,29.53,916.48,814.3299999999999,894.22,340.4,9.4749165,78.8967566,Natural
Alappuzha,0.1300989265417806,Satisfactory,0.1215994287754373,Satisfactory,0.0575481454020409,Poor,0.0070455612963832,Good,0.0329172649950292,Good,0.5379592587483331,Moderate,4,245584105,0.934060831205015,0.641025641025641,0.3714285714285714,0.8194444444444445,1970-01-01 00:00:01.766499058,0,3,1,Winter,Alappuzha,1220.0,3.0,1.0,0.0,0.0,1.45,663.4,1641.13,894.22,340.4,9.4923271,76.3291487,Natural
Aruppukkottai,0.0833508735003157,Good,0.0950017850767583,Satisfactory,0.1479541862597803,Severe,0.3305542508219821,Good,0.1006296255384955,Good,0.1941877040511335,Satisfactory,3,245584138,0.912700255398189,0.5256410256410257,0.4166666666666666,0.1444444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Aruppukkottai,400.0,0.0,0.0,0.0,0.0,17.87,916.48,814.3299999999999,894.22,340.4,9.5073229,78.0958971,Industrial
Virudhunagar,0.091096611239739,Good,0.0969475187433059,Satisfactory,0.1192054789174845,Very Poor,0.2340300610615311,Good,0.0831768474538826,Good,0.3007311353290109,Satisfactory,3,245584469,0.9043417692129092,0.5384615384615384,0.4261904761904762,0.1388888888888889,1970-01-01 00:00:01.766499058,0,3,1,Winter,Virudhunagar,1067.0,2.0,1.0,0.0,0.0,17.57,1432.7,682.49,894.22,340.4,9.58224,77.9537,Natural
