City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Alepe,0,1,0,0,0,0,0
Aleppo,2285,3,15,0,6,0,65
Ales,135,0,0,0,0,0,0
Alesd,0,0,0,0,0,0,0
Alexander City,370,1,0,0,0,0,0
Alexandria,23,5,14,0,0,0,0
Alexandroupoli,798,1,0,0,0,0,3
Aleysk,203,17,0,1,7,0,10
Alfafar,1655,23,188,0,3,1206,45
Alfeld,439,20,62,0,0,12,139
Alfena,848,10,82,0,4,4,28
Alfenas,987,3,9,0,0,0,35
Alfonsine,344,8,23,0,0,9,11
Alfortville,1435,17,5,0,12,37,140
Alfredo Baquerizo Moreno,0,0,0,0,0,0,0
Alfreton,378,10,17,0,0,0,118
Alfter,423,1,114,0,0,17,283
Algarrobo,116,7,66,0,0,1,32
Algeciras,0,0,0,0,0,0,0
Algemesi,634,8,1,0,2,6,1
Alges,1632,16,4,1,5,40,49
Algete,237,3,5,0,0,0,3
Alghero,470,7,9,0,1,2,9
Algiers,1194,6,0,0,0,0,63
Alginet,430,3,0,0,1,6,1
Algonquin,0,0,0,0,0,0,0
Alhama De Murcia,0,0,0,0,0,0,0
Alhambra,2159,3,46,0,117,249,94
Alhandra,301,0,0,0,0,0,0
Alhaurin De La Torre,884,5,1,0,1,5,0
Alhaurin El Grande,421,1,0,0,0,0,31
Alhos Vedros,0,0,0,0,0,0,0
Aliaga,0,0,0,0,0,0,0
Alianca,325,0,0,0,0,0,7
Alibag,0,0,0,0,0,0,0
Alice,382,0,0,0,0,0,0
Alice Springs,502,5,0,0,0,0,1
Aliganj,0,0,0,0,0,0,0
Aligarh,0,0,0,0,0,0,0
Aligudarz,1298,0,0,0,0,0,3
Alihe,36,0,0,0,0,0,4
Alindao,0,0,0,0,0,0,0
Alingsas,688,9,7,0,0,6,48
Alipur,77,0,0,0,0,0,0
Alipur Chatha,0,0,0,0,0,0,0
Alipur Duar,0,0,0,0,0,0,0
Aliquippa,0,0,0,0,0,0,0
Alirajpur,0,0,0,0,0,0,0
Aliso Viejo,0,0,0,0,0,0,0
Aliwal North,0,0,0,0,0,0,0
Alken,240,1,41,0,0,4,40
Alkhan Kala,97,1,2,0,0,0,2
Alkmaar,127,2,83,0,0,9,425
Allada,0,0,0,0,0,0,0
Allahabad,0,0,0,0,0,0,0
Allahganj,1,0,0,0,0,0,0
Allanmyo,0,0,0,0,0,0,0
Allanridge,0,0,0,0,0,0,0
Allapalli,0,0,0,0,0,0,0
Allauch,780,3,16,0,1,12,16
Allen,17,1,93,0,0,0,36
Allen Park,0,0,0,0,0,0,0
Allende,1526,20,0,0,0,0,16
Allentown,982,43,0,0,0,18,78
Aller,0,0,0,0,0,0,0
Alleroy,295,0,0,0,0,0,10
Alliance,238,3,17,1,0,0,0
Alliston,0,0,0,0,0,0,0
Alloa,580,13,56,0,0,1,58
Allonnes,0,0,0,0,0,0,0
Allouez,0,0,0,0,0,0,0
Allschwil,614,3,36,1,0,24,101
Alma,47,0,4,0,0,2,35
Almada,895,25,4,0,48,87,129
Almansa,514,2,3,0,0,0,1
Almaty,0,0,0,0,0,0,0
Almazar,403,33,3,0,14,0,95
Almeirim,446,4,41,0,0,2,3
Almelo,1642,12,24,0,11,20,572
Almenara,0,0,0,0,0,0,0
Almendralejo,0,0,0,0,0,0,0
Almere,1411,7,0,0,1,13,650
Almeria,1997,6,2,0,6,71,6
Almetyevsk,322,62,0,0,17,3,164
Almirante Tamandare,433,0,16,0,0,0,88
Almolonga,0,0,0,0,0,0,0
Almonte,0,0,0,0,0,0,0
Almora,0,0,0,0,0,0,0
Almoradi,508,11,411,0,1,0,2
Almunecar,465,2,0,0,31,43,10
Alnavar,104,0,2,0,0,0,0
Aloha,1416,21,0,0,13,3,141
Along,0,0,0,0,0,0,0
Alor Gajah,0,0,0,0,0,0,0
Alor Setar,0,0,0,0,0,0,0
Alora,367,1,0,0,0,1,4
Alot,29,0,0,0,0,0,0
Alotau,103,2,0,0,0,0,19
Alotenango,206,0,4,0,0,0,2
Alpen,0,0,0,0,0,0,0
Alpena,14,0,0,0,0,0,0
Alpharetta,857,7,0,0,0,0,47
Alphen,144,1,99,0,0,0,329
Alpignano,0,0,0,0,0,0,0
Alpine,0,0,0,0,0,0,6
Alpinopolis,396,0,0,0,0,0,25
Alquizar,0,0,0,0,0,0,0
Alsdorf,0,0,0,0,0,0,0
Alsfeld,238,6,84,0,0,10,111
Alsip,529,31,1,0,0,0,52
Alta,0,0,0,0,0,0,0
Alta Floresta,0,0,0,0,0,0,0
Alta Gracia,0,0,0,0,0,0,0
Altadena,572,2,1,0,0,0,0
Altagracia De Orituco,0,0,0,0,0,0,0
Altamira,279,3,0,0,1,2,32
Altamont,93,0,0,0,0,0,3
Altamonte Springs,739,1,0,0,0,0,25
Altamura,1264,1,0,0,0,0,9
Altavilla Vicentina,0,0,0,0,0,0,0
Altay,0,0,0,0,0,0,0
Altayskoye,125,10,10,0,0,0,49
Altdorf,0,0,0,0,0,0,0
Altea,385,1,0,0,24,20,2
Altena,0,0,0,0,0,0,0
Altenburg,777,16,26,0,36,13,337
Altenstadt,534,10,85,0,1,7,192
Altensteig,397,7,12,1,1,2,63
Altepexi,0,0,0,0,0,0,0
Altinho,0,0,0,0,0,0,0
Altinopolis,280,0,0,0,0,0,0
Alto Parana,205,1,1,0,0,0,14
Alto Piquiri,121,0,0,0,0,0,26
Alton,391,2,1,0,0,0,60
Altonia,342,5,31,0,0,0,36
Altoona,763,1,0,0,2,0,57
Altopascio,0,0,0,0,0,0,0
Altos,0,0,0,0,0,0,0
Altotonga,7,0,0,0,0,0,0
Altotting,671,6,216,2,0,5,312
Altrincham,1054,32,39,0,0,1,116
Altstatten,517,9,25,3,0,6,144
Altus,281,1,0,0,0,0,0
Altusried,160,3,3,1,0,5,278
Alushta,305,9,10,0,25,0,84
Alvand,778,2,6,0,0,0,5
Alvarado,259,4,1,0,0,0,15
Alvares Machado,425,1,0,0,0,0,8
Alvin,0,0,0,0,0,0,0
Alvinopolis,162,2,0,0,0,0,1
Alvorada,0,0,0,0,0,0,0
Alwar,181,0,0,0,0,0,0
Alwaye,0,0,0,0,0,0,0
Alytus,510,12,7,0,8,58,68
