location_id,location_name,sensor_id,pollutant_name,value,unit,latitude,longitude,timestamp_utc,hour,day,month,day_of_week,source_label,country,source
50,"Punjabi Bagh, Delhi - DPCC",395,pm10,308.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",395,pm10,432.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234796,pm25,95.0,µg/m³,28.674045,77.131023,,,,,,Natural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234796,pm25,119.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",396,pm25,124.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",396,pm25,203.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234798,so2,44.2,ppb,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234798,so2,41.2,ppb,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234798,so2,43.0,ppb,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234798,so2,45.6,ppb,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234798,so2,47.7,ppb,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",397,so2,22.6,µg/m³,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",397,so2,24.0,µg/m³,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",397,so2,23.7,µg/m³,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",397,so2,21.3,µg/m³,28.674045,77.131023,,,,,,Industrial,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13863,no2,101.2,µg/m³,28.6235,77.2494,,,,,,Vehicular,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13863,no2,47.2,µg/m³,28.6235,77.2494,,,,,,Vehicular,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13863,no2,29.1,µg/m³,28.6235,77.2494,,,,,,Unknown,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13863,no2,44.4,µg/m³,28.6235,77.2494,,,,,,Vehicular,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13863,no2,43.7,µg/m³,28.6235,77.2494,,,,,,Vehicular,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13862,pm10,345.0,µg/m³,28.6235,77.2494,,,,,,Agricultural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13862,pm10,143.0,µg/m³,28.6235,77.2494,,,,,,Agricultural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13862,pm10,133.0,µg/m³,28.6235,77.2494,,,,,,Agricultural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13862,pm10,126.0,µg/m³,28.6235,77.2494,,,,,,Agricultural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13862,pm10,128.0,µg/m³,28.6235,77.2494,,,,,,Agricultural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13861,pm25,219.0,µg/m³,28.6235,77.2494,,,,,,Agricultural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13861,pm25,96.0,µg/m³,28.6235,77.2494,,,,,,Natural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13861,pm25,86.0,µg/m³,28.6235,77.2494,,,,,,Natural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13861,pm25,77.0,µg/m³,28.6235,77.2494,,,,,,Natural,IN,OpenAQ v3
103,"Income Tax Office, Delhi - CPCB",13861,pm25,75.0,µg/m³,28.6235,77.2494,,,,,,Natural,IN,OpenAQ v3
235,"Anand Vihar, New Delhi - DPCC",12235605,co,1.17,ppb,28.646835,77.316032,,,,,,Unknown,IN,OpenAQ v3
