city,location_id,location_name,sensor_id,pollutant,value,unit,latitude,longitude,timestamp_utc,country,source
,17,"R K Puram, Delhi - DPCC",12234789,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",37.8,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234789,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",31.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234789,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",32.1,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234789,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",31.9,,28.563262,77.186937,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",398,"{'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': None}",2900.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",398,"{'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': None}",3400.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",398,"{'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': None}",3500.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",398,"{'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': None}",4000.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",398,"{'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': None}",4300.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234791,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.13,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234791,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.18,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234791,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.11,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234791,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.08,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234791,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.05,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234793,"{'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': None}",41.1,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234793,"{'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': None}",39.9,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234793,"{'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': None}",38.6,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234793,"{'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': None}",39.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234793,"{'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': None}",38.7,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",400,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",143.2,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",400,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",145.2,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",400,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",146.6,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",400,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",144.6,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",400,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",134.9,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",71,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",10.5,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",71,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",14.2,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",71,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",17.6,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",71,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",16.8,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",71,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",17.5,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234794,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",1.8,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234794,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",2.2,,28.674045,77.131023,,IN,OpenAQ v3
