State / Union Territory,City / town / village,SO2,NO2,PM10,PM2.5,Year,Location,Latitude,Longitude,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Weather Condition,AQI_PM2.5,AQI_PM10,AQI_SO2,AQI_NO2,AQI,AQI_Category,Roads_count,Industrial_zones_count,Dump_sites_count,Agricultural_fields_count,Urban_density_score,Industrial_presence,Pollution_source_risk,Green_area_ratio,dist_nearest_road_m,dist_nearest_ind_m,dist_nearest_dump_m,dist_nearest_agri_m
Goa,Cuncolim,6,13,67,32,2021,"Cuncolim, Goa, India",15.1801323,73.9978596,24.94,63,1012,2.41,84,clear sky,52.68965517,67,7.5,16.25,67,Satisfactory,1033,5,0,7,0.03,1,3.12,0.01,738664.26,407585.3118,956812.8111,737137.8254
Goa,Honda,7,13,61,28,2021,"Honda, Goa, India",15.5431308,74.0585804,21.2,63,1012,1.69,70,clear sky,46.66666667,61,8.75,16.25,61,Satisfactory,1496,17,0,20,0.04,1,4.56,0.01,724608.4626,409383.5774,916618.9819,722759.7849
Goa,Kundaim,7,13,62,28,2021,"Kundaim, Goa, India",15.4597358,73.961307,24.67,88,1012,0,0,mist,46.66666667,62,8.75,16.25,62,Satisfactory,1311,20,0,83,0.04,1,4.01,0.06,736797.9768,417615.4654,924305.5427,735011.7528
Goa,Mapusa,2,16,57,24,2021,"Mapusa, Goa, India",15.590853,73.8102146,24.97,57,1011,2.08,53,clear sky,40,57,2.5,20,57,Satisfactory,4460,110,2,186,0.12,1,13.83,0.04,751182.3244,437532.8662,906761.1266,749258.3551
Goa,Margao,7,13,59,27,2021,"Margao, Goa, India",15.272923,73.9583159,24.91,88,1011,0,0,mist,45,59,8.75,16.25,59,Satisfactory,3907,9,0,68,0.11,1,11.76,0.02,740884.1642,413659.7746,945546.1448,739266.6587
Goa,Panaji,2,15,73,26,2021,"Panaji, Goa, India",15.4989946,73.8282141,24.94,88,1011,0,0,mist,43.33333333,73,2.5,18.75,73,Satisfactory,3898,45,3,146,0.11,1,11.88,0.04,750727.8356,433071.37,917553.6072,748887.745
Goa,Ponda,8,13,63,28,2021,"Ponda, Goa, India",15.3979351,74.0079788,24.7,65,1012,1.51,87,clear sky,46.66666667,63,10,16.25,63,Satisfactory,1360,12,0,60,0.04,1,4.13,0.04,732854.5464,410997.6565,932193.1418,731131.5944
Goa,Sanguem,7,13,60,28,2021,"Sanguem, Goa, India",15.2282657,74.1512667,22.54,61,1012,2.42,86,clear sky,46.66666667,60,8.75,16.25,60,Satisfactory,833,17,0,21,0.02,1,2.57,0.02,720817.3373,391614.788,954220.5482,719275.3282
Goa,Tilamol,7,13,62,29,2021,"Tilamol, Goa, India",15.2806,74.0943,21.81,64,1012,2.05,89,clear sky,48.33333333,62,8.75,16.25,62,Satisfactory,699,12,0,9,0.02,1,2.14,0.01,725853.2391,398920.4354,947164.4803,724252.3687
Goa,Tuem,7,13,59,27,2021,"Tuem, Goa, India",15.6665677,73.795665,22.63,56,1012,1.83,48,clear sky,45,59,8.75,16.25,59,Satisfactory,1451,32,0,83,0.04,1,4.48,0.05,751641.3374,441345.3231,897866.6274,749648.6143
Goa,Usgao-Pale,8,13,64,29,2021,"Usgao-Pale, Goa, India",15.4892,74.0703,21.1,64,1012,1.6,75,clear sky,48.33333333,64,10,16.25,64,Satisfactory,1035,18,0,0,0.03,1,3.18,0,724277.9359,406594.1867,922981.5658,722480.6446
Goa,Vasco,2,15,58,32,2021,"Vasco, Goa, India",15.3984159,73.8128829,24.95,88,1011,0,0,mist,52.68965517,58,2.5,18.75,58,Satisfactory,1320,15,0,3,0.04,1,4.02,0,754253.6288,432268.011,928802.9913,752500.6782
Gujarat,Ahmedabad,17,34,123,46,2021,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,18.04,77,1015,0,0,haze,76.34482759,115.6174497,21.25,42.5,115.6174497,Moderate,13544,44,0,33,0.38,1,40.81,0,863898.9123,1134021.098,20561.59252,1042379.659
Gujarat,Ankleshwar,40,26,120,63,2021,"Ankleshwar, Gujarat, India",21.6293206,72.9945103,18.67,47,1015,3.04,54,clear sky,107.8275862,113.6241611,50,32.5,113.6241611,Moderate,2314,4,0,0,0.06,1,6.96,0,980106.3561,966532.7223,191868.9501,1026744.331
Gujarat,Gandhinagar,9,15,78,40,2021,"Gandhinagar, Gujarat, India",23.2232877,72.6492267,17.84,77,1016,0,0,haze,66.20689655,78,11.25,18.75,78,Satisfactory,7619,19,1,37,0.21,1,22.94,0,839773.3791,1151589.726,5094.72548,1016896.332
Gujarat,Jamnagar,14,18,116,28,2021,"Jamnagar, Gujarat, India",22.4732415,70.0552102,23.94,45,1015,3.46,85,clear sky,46.66666667,110.966443,17.5,22.5,110.966443,Moderate,6885,8,0,2,0.19,1,20.69,0,1100959.141,1246684.029,298887.6425,1235388.483
Gujarat,Nandesari,6,8,72,51,2021,"Nandesari, Gujarat, India",22.4178037,73.0949186,20.15,45,1015,3.22,42,clear sky,84.79310345,72,7.5,10,84.79310345,Satisfactory,2732,23,0,1,0.08,1,8.29,0,892426.5163,1042438.935,106404.2911,1076366.605
Gujarat,Navarangpur,12,16,97,23,2021,"Navarangpur, Gujarat, India",19.231,82.5482,12.7,70,1016,1.62,55,clear sky,38.33333333,97,15,20,97,Satisfactory,80,0,0,0,0,0,0.24,0,393598.2879,163369.654,1201230.089,391836.0334
Gujarat,Rajkot,14,18,118,30,2021,"Rajkot, Gujarat, India",22.3053263,70.8028377,22.83,38,1015,2.77,72,clear sky,50,112.295302,17.5,22.5,112.295302,Moderate,12984,3,0,3,0.36,1,38.96,0,1056973.454,1176535.517,229146.1805,1208432.003
Gujarat,Surat,20,24,100,35,2021,"Surat, Gujarat, India",21.2094892,72.8317058,19.38,45,1014,3.48,43,clear sky,57.75862069,100,25,30,100,Satisfactory,18600,35,0,14,0.52,1,55.94,0,1018602.429,934642.2751,238746.0721,1013328.504
Gujara,Saraspur,13,17,120,27,2021,"Saraspur, Gujara, India",23.0475,72.6036,18.01,77,1015,0,0,haze,45,113.6241611,16.25,21.25,113.6241611,Moderate,13562,48,0,40,0.38,1,40.88,0,859814.3154,1135460.746,16954.65537,1038464.701
Gujarat,Vadodara,15,19,111,30,2021,"Vadodara, Gujarat, India",22.2973142,73.1942567,20.31,43,1015,2.35,54,clear sky,50,107.6442953,18.75,23.75,107.6442953,Moderate,18299,8,0,15,0.51,1,54.93,0,899312.841,1024401.846,124490.7671,1058560.585
Gujarat,Vapi,16,24,114,51,2021,"Vapi, Gujarat, India",20.3735482,72.9084376,20.86,45,1014,2.29,80,clear sky,84.79310345,109.6375839,20,30,109.6375839,Moderate,1174,30,0,0,0.03,1,3.64,0,960280.4918,849453.782,338648.0908,955280.6354
Gujarat,Vatva,28,68,160,67,2021,"Vatva, Gujarat, India",22.9589978,72.6297981,18.05,77,1015,0,0,haze,121.4827586,140.2013423,35,84.92307692,140.2013423,Moderate,8418,19,0,0,0.23,1,25.33,0,866685.445,1124710.123,27469.70656,1047203.614
Haryana,Ambala,9,21,122,62,2021,"Ambala, Haryana, India",30.3843674,76.770421,15.26,41,1016,2.94,328,clear sky,104.4137931,114.9530201,11.25,26.25,114.9530201,Moderate,5571,5,0,9,0.16,1,16.73,0,232197.5985,1675482.568,45316.78723,71428.60898
Haryana,Bahadurgarh,13,28,,91,2021,"Bahadurgarh, Haryana, India",28.6609648,76.8346765,16.09,22,1017,2.48,318,clear sky,201,,16.25,35,201,Poor,804,2,0,0,0.02,1,2.42,0,44177.38445,1477091.051,265902.9669,269474.0677
Haryana,Ballabgarh,9,35,165,82,2021,"Ballabgarh, Haryana, India",28.2940728,77.3592238,18.53,21,1016,2.27,309,clear sky,172.6896552,143.5234899,11.25,43.75,172.6896552,Moderate,4129,11,0,3,0.12,1,12.43,0,42727.1862,1408121.468,319087.9719,331886.8225
Haryana,Bhiwani,13,23,135,50,2021,"Bhiwani, Haryana, India",28.7931703,76.1391283,18.09,19,1017,1.81,312,clear sky,83.10344828,123.590604,16.25,28.75,123.590604,Moderate,4663,5,0,0,0.13,1,14.01,0,123321.8113,1531069.974,258729.9009,244824.4737
